order_id,customer_id,product,category,region,quantity,price,order_date
1001,C001,Laptop,Electronics,North,1,50000,2025-01-01
1002,C002,Mouse,Accessories,South,2,800,2025-01-02
1003,C003,Keyboard,Accessories,East,3,1500,2025-01-03
1004,C004,Monitor,Electronics,West,4,12000,2025-01-04
1005,C005,Printer,Electronics,North,5,9000,2025-01-05
1006,C006,Laptop,Electronics,South,1,50000,2025-01-06
1007,C007,Mouse,Accessories,East,2,800,2025-01-07
1008,C008,Keyboard,Accessories,West,3,1500,2025-01-08
1009,C009,Monitor,Electronics,North,4,12000,2025-01-09
1010,C010,Printer,Electronics,South,5,9000,2025-01-10
1011,C011,Laptop,Electronics,East,1,50000,2025-01-11
1012,C012,Mouse,Accessories,West,2,800,2025-01-12
1013,C013,Keyboard,Accessories,North,3,1500,2025-01-13
1014,C014,Monitor,Electronics,South,4,12000,2025-01-14
1015,C015,Printer,Electronics,East,5,9000,2025-01-15
1016,C016,Laptop,Electronics,West,1,50000,2025-01-16
1017,C017,Mouse,Accessories,North,2,800,2025-01-17
1018,C018,Keyboard,Accessories,South,3,1500,2025-01-18
1019,C019,Monitor,Electronics,East,4,12000,2025-01-19
1020,C020,Printer,Electronics,West,5,9000,2025-01-20
1021,C001,Laptop,Electronics,North,1,50000,2025-01-21
1022,C002,Mouse,Accessories,South,2,800,2025-01-22
1023,C003,Keyboard,Accessories,East,3,1500,2025-01-23
1024,C004,Monitor,Electronics,West,4,12000,2025-01-24
1025,C005,Printer,Electronics,North,5,9000,2025-01-25
1026,C006,Laptop,Electronics,South,1,50000,2025-01-26
1027,C007,Mouse,Accessories,East,2,800,2025-01-27
1028,C008,Keyboard,Accessories,West,3,1500,2025-01-28
1029,C009,Monitor,Electronics,North,4,12000,2025-01-29
1030,C010,Printer,Electronics,South,5,9000,2025-01-30
1031,C011,Laptop,Electronics,East,1,50000,2025-01-31
1032,C012,Mouse,Accessories,West,2,800,2025-02-01
1033,C013,Keyboard,Accessories,North,3,1500,2025-02-02
1034,C014,Monitor,Electronics,South,4,12000,2025-02-03
1035,C015,Printer,Electronics,East,5,9000,2025-02-04
1036,C016,Laptop,Electronics,West,1,50000,2025-02-05
1037,C017,Mouse,Accessories,North,2,800,2025-02-06
1038,C018,Keyboard,Accessories,South,3,1500,2025-02-07
1039,C019,Monitor,Electronics,East,4,12000,2025-02-08
1040,C020,Printer,Electronics,West,5,9000,2025-02-09
1041,C001,Laptop,Electronics,North,1,50000,2025-02-10
1042,C002,Mouse,Accessories,South,2,800,2025-02-11
1043,C003,Keyboard,Accessories,East,3,1500,2025-02-12
1044,C004,Monitor,Electronics,West,4,12000,2025-02-13
1045,C005,Printer,Electronics,North,5,9000,2025-02-14
1046,C006,Laptop,Electronics,South,1,50000,2025-02-15
1047,C007,Mouse,Accessories,East,2,800,2025-02-16
1048,C008,Keyboard,Accessories,West,3,1500,2025-02-17
1049,C009,Monitor,Electronics,North,4,12000,2025-02-18
1050,C010,Printer,Electronics,South,5,9000,2025-02-19
1051,C011,Laptop,Electronics,East,1,50000,2025-02-20
1052,C012,Mouse,Accessories,West,2,800,2025-02-21
1053,C013,Keyboard,Accessories,North,3,1500,2025-02-22
1054,C014,Monitor,Electronics,South,4,12000,2025-02-23
1055,C015,Printer,Electronics,East,5,9000,2025-02-24
1056,C016,Laptop,Electronics,West,1,50000,2025-02-25
1057,C017,Mouse,Accessories,North,2,800,2025-02-26
1058,C018,Keyboard,Accessories,South,3,1500,2025-02-27
1059,C019,Monitor,Electronics,East,4,12000,2025-02-28
1060,C020,Printer,Electronics,West,5,9000,2025-03-01
1061,C001,Laptop,Electronics,North,1,50000,2025-03-02
1062,C002,Mouse,Accessories,South,2,800,2025-03-03
1063,C003,Keyboard,Accessories,East,3,1500,2025-03-04
1064,C004,Monitor,Electronics,West,4,12000,2025-03-05
1065,C005,Printer,Electronics,North,5,9000,2025-03-06
1066,C006,Laptop,Electronics,South,1,50000,2025-03-07
1067,C007,Mouse,Accessories,East,2,800,2025-03-08
1068,C008,Keyboard,Accessories,West,3,1500,2025-03-09
1069,C009,Monitor,Electronics,North,4,12000,2025-03-10
1070,C010,Printer,Electronics,South,5,9000,2025-03-11
1071,C011,Laptop,Electronics,East,1,50000,2025-03-12
1072,C012,Mouse,Accessories,West,2,800,2025-03-13
